Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
42	ampere11.cc.gatech.edu	1775446529.058	  2067.010	0	0	0	0	./build/quicksilver benchmarks/bin/compiled/rdr_micro2026/eif/BQ_c2h4o_ethylene_oxide_q.gz 100000000 -pp 100000000 --total-program-instructions 553239611 -a 4 -f 35000 &> out/rdr_micro2026/simulation_results/baseline_f35k/BQ_c2h4o_ethylene_oxide_q.out
201	ampere09.cc.gatech.edu	1775446545.518	  2051.888	0	0	0	0	./build/quicksilver benchmarks/bin/compiled/rdr_micro2026/eif_rdr/BQ_hc3h2cn_q.gz 100000000 -pp 100000000 --total-program-instructions 567514424 -a 4 -f 30000 -rdr 1 --rdr-capacity 2 --rdr-start-layer 2 --rdr-lookahead-depth 16 --rdr-degree 4 --rdr-completion-buffer-capacity 4 &> out/rdr_micro2026/simulation_results/rdr_f30k/BQ_hc3h2cn_q.out
191	ampere09.cc.gatech.edu	1775446544.476	  2053.750	0	0	0	0	./build/quicksilver benchmarks/bin/compiled/rdr_micro2026/eif_rdr/BQ_c2h4o_ethylene_oxide_t.gz 100000000 -pp 100000000 --total-program-instructions 532474699 -a 4 -f 30000 -rdr 1 --rdr-capacity 2 --rdr-start-layer 2 --rdr-lookahead-depth 16 --rdr-degree 4 --rdr-completion-buffer-capacity 4 &> out/rdr_micro2026/simulation_results/rdr_f30k/BQ_c2h4o_ethylene_oxide_t.out
72	ampere11.cc.gatech.edu	1775446532.134	  2069.317	0	0	0	0	./build/quicksilver benchmarks/bin/compiled/rdr_micro2026/eif/BQ_hc3h2cn_t.gz 100000000 -pp 100000000 --total-program-instructions 509061509 -a 4 -f 35000 &> out/rdr_micro2026/simulation_results/baseline_f35k/BQ_hc3h2cn_t.out
32	ampere11.cc.gatech.edu	1775446528.034	  2079.939	0	0	0	0	./build/quicksilver benchmarks/bin/compiled/rdr_micro2026/eif/BQ_bose_hubbard_t.gz 100000000 -pp 100000000 --total-program-instructions 235774640 -a 4 -f 35000 &> out/rdr_micro2026/simulation_results/baseline_f35k/BQ_bose_hubbard_t.out
182	ampere09.cc.gatech.edu	1775446543.536	  2082.618	0	0	0	0	./build/quicksilver benchmarks/bin/compiled/rdr_micro2026/eif_rdr/BQ_c2h4o_ethylene_oxide_q.gz 100000000 -pp 100000000 --total-program-instructions 553239611 -a 4 -f 35000 -rdr 1 --rdr-capacity 2 --rdr-start-layer 2 --rdr-lookahead-depth 16 --rdr-degree 4 --rdr-completion-buffer-capacity 4 &> out/rdr_micro2026/simulation_results/rdr_f35k/BQ_c2h4o_ethylene_oxide_q.out
22	ampere11.cc.gatech.edu	1775446527.013	  2104.532	0	0	0	0	./build/quicksilver benchmarks/bin/compiled/rdr_micro2026/eif/BQ_bose_hubbard_q.gz 100000000 -pp 100000000 --total-program-instructions 290669020 -a 4 -f 35000 &> out/rdr_micro2026/simulation_results/baseline_f35k/BQ_bose_hubbard_q.out
222	ampere09.cc.gatech.edu	1775446547.705	  2086.580	0	0	0	0	./build/quicksilver benchmarks/bin/compiled/rdr_micro2026/eif_rdr/BQ_manganese_nitride_q.gz 100000000 -pp 100000000 --total-program-instructions 511694490 -a 4 -f 35000 -rdr 1 --rdr-capacity 2 --rdr-start-layer 2 --rdr-lookahead-depth 16 --rdr-degree 4 --rdr-completion-buffer-capacity 4 &> out/rdr_micro2026/simulation_results/rdr_f35k/BQ_manganese_nitride_q.out
12	ampere11.cc.gatech.edu	1775446525.990	  2122.588	0	0	0	0	./build/quicksilver benchmarks/bin/compiled/rdr_micro2026/eif/BQ_chromium_t.gz 100000000 -pp 100000000 --total-program-instructions 510434112 -a 4 -f 35000 &> out/rdr_micro2026/simulation_results/baseline_f35k/BQ_chromium_t.out
202	ampere09.cc.gatech.edu	1775446545.623	  2112.341	0	0	0	0	./build/quicksilver benchmarks/bin/compiled/rdr_micro2026/eif_rdr/BQ_hc3h2cn_q.gz 100000000 -pp 100000000 --total-program-instructions 567514424 -a 4 -f 35000 -rdr 1 --rdr-capacity 2 --rdr-start-layer 2 --rdr-lookahead-depth 16 --rdr-degree 4 --rdr-completion-buffer-capacity 4 &> out/rdr_micro2026/simulation_results/rdr_f35k/BQ_hc3h2cn_q.out
192	ampere09.cc.gatech.edu	1775446544.579	  2120.677	0	0	0	0	./build/quicksilver benchmarks/bin/compiled/rdr_micro2026/eif_rdr/BQ_c2h4o_ethylene_oxide_t.gz 100000000 -pp 100000000 --total-program-instructions 532474699 -a 4 -f 35000 -rdr 1 --rdr-capacity 2 --rdr-start-layer 2 --rdr-lookahead-depth 16 --rdr-degree 4 --rdr-completion-buffer-capacity 4 &> out/rdr_micro2026/simulation_results/rdr_f35k/BQ_c2h4o_ethylene_oxide_t.out
162	ampere09.cc.gatech.edu	1775446541.448	  2128.391	0	0	0	0	./build/quicksilver benchmarks/bin/compiled/rdr_micro2026/eif_rdr/BQ_bose_hubbard_q.gz 100000000 -pp 100000000 --total-program-instructions 290669020 -a 4 -f 35000 -rdr 1 --rdr-capacity 2 --rdr-start-layer 2 --rdr-lookahead-depth 16 --rdr-degree 4 --rdr-completion-buffer-capacity 4 &> out/rdr_micro2026/simulation_results/rdr_f35k/BQ_bose_hubbard_q.out
212	ampere09.cc.gatech.edu	1775446546.667	  2136.267	0	0	0	0	./build/quicksilver benchmarks/bin/compiled/rdr_micro2026/eif_rdr/BQ_hc3h2cn_t.gz 100000000 -pp 100000000 --total-program-instructions 509061509 -a 4 -f 35000 -rdr 1 --rdr-capacity 2 --rdr-start-layer 2 --rdr-lookahead-depth 16 --rdr-degree 4 --rdr-completion-buffer-capacity 4 &> out/rdr_micro2026/simulation_results/rdr_f35k/BQ_hc3h2cn_t.out
