angle,t_count_x,t_count_2x,len_x,len_2x
1,48,52,78,79
1.0052831853071795,50,52,78,73
1.0105663706143593,46,52,65,73
1.0158495559215388,46,52,69,73
1.0211327412287183,52,52,83,84
1.0264159265358979,48,52,76,84
1.0316991118430776,50,52,75,84
1.0369822971502571,50,52,77,84
1.0422654824574367,46,50,72,81
1.0475486677646162,50,50,77,81
1.0528318530717959,46,50,76,81
1.0581150383789755,48,50,71,81
1.063398223686155,52,50,75,78
1.0686814089933345,50,50,81,78
1.0739645943005143,50,50,74,78
1.0792477796076938,50,50,77,78
1.0845309649148733,52,50,90,72
1.0898141502220531,50,50,77,72
1.0950973355292326,52,50,79,72
1.1003805208364121,48,50,77,72
1.1056637061435917,46,50,65,82
1.1109468914507714,50,50,72,82
1.1162300767579509,46,50,68,82
1.1215132620651305,50,50,73,82
1.12679644737231,48,50,76,77
1.1320796326794897,48,50,79,77
1.1373628179866693,50,50,71,77
1.1426460032938488,48,50,71,77
1.1479291886010283,48,48,74,76
1.1532123739082081,52,48,77,76
1.1584955592153876,50,48,76,76
1.1637787445225671,52,48,81,76
1.1690619298297467,52,48,79,76
1.1743451151369264,50,52,80,75
1.1796283004441059,50,52,78,75
1.1849114857512855,48,52,69,75
1.1901946710584652,48,50,76,75
1.1954778563656447,46,50,72,75
1.2007610416728243,42,50,62,75
1.2060442269800038,50,50,69,75
1.2113274122871835,44,48,64,71
1.2166105975943631,46,48,66,71
1.2218937829015426,46,48,72,71
1.2271769682087221,50,48,79,71
1.2324601535159019,50,50,79,71
1.2377433388230814,52,50,77,71
1.2430265241302609,48,50,72,71
1.2483097094374405,48,50,81,71
1.2535928947446202,48,50,75,79
1.2588760800517997,50,50,67,79
1.2641592653589793,50,50,77,79
1.269442450666159,52,52,79,78
1.2747256359733385,52,52,81,78
1.2800088212805181,56,52,81,78
1.2852920065876976,50,52,84,78
1.2905751918948773,48,52,70,78
1.2958583772020569,48,50,74,77
1.3011415625092364,50,50,76,77
1.3064247478164159,48,50,75,77
1.3117079331235957,50,50,79,79
1.3169911184307752,50,50,79,79
1.3222743037379547,48,50,73,79
1.3275574890451343,50,50,73,79
1.332840674352314,52,50,81,79
1.3381238596594935,50,48,80,74
1.3434070449666731,52,48,83,74
1.3486902302738528,48,50,73,75
1.3539734155810323,52,50,81,75
